"","driverId","lap_number","lap_time","pitstop","pitstop_lagged"
"595",11,52,92448,FALSE,0
"596",11,53,92899,FALSE,0
"597",11,54,95640,FALSE,0
"598",11,55,92694,FALSE,0
"599",11,56,93047,FALSE,0
"600",11,57,93506,FALSE,0
"601",12,1,111520,FALSE,0
"602",12,2,95827,FALSE,0
"603",12,3,94667,FALSE,0
"604",12,4,94602,FALSE,0
"605",12,5,95574,FALSE,0
"606",12,6,95221,FALSE,0
"607",12,7,96572,FALSE,0
"608",12,8,95803,FALSE,0
"609",12,9,94969,FALSE,0
"610",12,10,94161,FALSE,0
"611",12,11,94061,FALSE,0
"612",12,12,95471,FALSE,0
"613",12,13,95000,FALSE,0
"614",12,14,94395,FALSE,0
"615",12,15,94953,FALSE,0
"616",12,16,115254,TRUE,0
"617",12,17,103196,FALSE,1
"618",12,18,93265,FALSE,0
"619",12,19,93279,FALSE,0
"620",12,20,94750,FALSE,0
"621",12,21,93809,FALSE,0
"622",12,22,93366,FALSE,0
"623",12,23,94057,FALSE,0
"624",12,24,93843,FALSE,0
"625",12,25,93060,FALSE,0
"626",12,26,92712,FALSE,0
"627",12,27,93023,FALSE,0
"628",12,28,92923,FALSE,0
"629",12,29,92590,FALSE,0
"630",12,30,92726,FALSE,0
"631",12,31,92778,FALSE,0
"632",12,32,92934,FALSE,0
"633",12,33,92996,FALSE,0
"634",12,34,92803,FALSE,0
"635",12,35,92884,FALSE,0
"636",12,36,92633,FALSE,0
"637",12,37,111970,TRUE,0
"638",12,38,100470,FALSE,1
"639",12,39,92017,FALSE,0
"640",12,40,91960,FALSE,0
"641",12,41,94253,FALSE,0
"642",12,42,91924,FALSE,0
"643",12,43,91971,FALSE,0
"644",12,44,91679,FALSE,0
"645",12,45,92008,FALSE,0
"646",12,46,92246,FALSE,0
"647",12,47,93932,FALSE,0
"648",12,48,91931,FALSE,0
"649",12,49,91948,FALSE,0
"650",12,50,91937,FALSE,0
"651",12,51,92065,FALSE,0
"652",12,52,91681,FALSE,0
"653",12,53,91774,FALSE,0
"654",12,54,91773,FALSE,0
"655",12,55,91526,FALSE,0
"656",12,56,91579,FALSE,0
"657",12,57,92473,FALSE,0
"658",13,1,112091,FALSE,0
"659",13,2,96505,FALSE,0
"660",13,3,95067,FALSE,0
"661",13,4,95662,FALSE,0
"662",13,5,95405,FALSE,0
"663",13,6,95662,FALSE,0
"664",13,7,95698,FALSE,0
"665",13,8,95363,FALSE,0
"666",13,9,95895,FALSE,0
"667",13,10,95038,FALSE,0
"668",13,11,94838,FALSE,0
"669",13,12,95039,FALSE,0
"670",13,13,96546,FALSE,0
"671",13,14,95592,FALSE,0
"672",13,15,114318,TRUE,0
"673",13,16,99684,FALSE,1
"674",13,17,93707,FALSE,0
"675",13,18,93539,FALSE,0
"676",13,19,93421,FALSE,0
"677",13,20,93822,FALSE,0
"678",13,21,94361,FALSE,0
"679",13,22,93889,FALSE,0
"680",13,23,94735,FALSE,0
"681",13,24,93587,FALSE,0
"682",13,25,94694,FALSE,0
"683",13,26,93545,FALSE,0
"684",13,27,93263,FALSE,0
"685",13,28,92848,FALSE,0
"686",13,29,93282,FALSE,0
"687",13,30,114826,TRUE,0
"688",13,31,99960,FALSE,1
"689",13,32,92876,FALSE,0
"690",13,33,92552,FALSE,0
"691",13,34,93071,FALSE,0
"692",13,35,95177,FALSE,0
"693",13,36,92892,FALSE,0
"694",13,37,92765,FALSE,0
"695",13,38,92993,FALSE,0
"696",13,39,94306,FALSE,0
"697",13,40,94974,FALSE,0
"698",13,41,93026,FALSE,0
"699",13,42,92807,FALSE,0
"700",13,43,92377,FALSE,0
"701",13,44,92619,FALSE,0
"702",13,45,93120,FALSE,0
"703",13,46,92898,FALSE,0
"704",13,47,93102,FALSE,0
"705",13,48,95082,FALSE,0
"706",13,49,94204,FALSE,0
"707",13,50,95702,FALSE,0
"708",13,51,93801,FALSE,0
"709",13,52,95493,FALSE,0
"710",13,53,95589,FALSE,0
"711",13,54,95243,FALSE,0
"712",13,55,96404,FALSE,0
"713",13,56,93858,FALSE,0
"714",13,57,95088,FALSE,0
"715",14,1,112663,FALSE,0
"716",14,2,97576,FALSE,0
"717",14,3,96216,FALSE,0
"718",14,4,95617,FALSE,0
"719",14,5,95999,FALSE,0
"720",14,6,96169,FALSE,0
"721",14,7,95294,FALSE,0
"722",14,8,95375,FALSE,0
"723",14,9,98168,FALSE,0
"724",14,10,96506,FALSE,0
"725",14,11,94646,FALSE,0
"726",14,12,94746,FALSE,0
"727",14,13,94905,FALSE,0
"728",14,14,96433,FALSE,0
"729",14,15,94867,FALSE,0
"730",14,16,94778,FALSE,0
"731",14,17,94790,FALSE,0
"732",14,18,94889,FALSE,0
"733",14,19,94623,FALSE,0
"734",14,20,94685,FALSE,0
"735",14,21,95145,FALSE,0
"736",14,22,95217,FALSE,0
"737",14,23,115111,TRUE,0
"738",14,24,102170,FALSE,1
"739",14,25,92147,FALSE,0
"740",14,26,91309,FALSE,0
"741",14,27,91307,FALSE,0
"742",14,28,91050,FALSE,0
"743",14,29,90671,FALSE,0
"744",14,30,91243,FALSE,0
"745",14,31,91517,FALSE,0
"746",14,32,91740,FALSE,0
"747",14,33,91306,FALSE,0
"748",14,34,92775,FALSE,0
"749",14,35,91896,FALSE,0
"750",14,36,92569,FALSE,0
"751",14,37,90649,FALSE,0
"752",14,38,90741,FALSE,0
"753",14,39,89962,FALSE,0
"754",14,40,90526,FALSE,0
"755",14,41,90545,FALSE,0
"756",14,42,90721,FALSE,0
"757",14,43,90513,FALSE,0
"758",14,44,90137,FALSE,0
"759",14,45,90319,FALSE,0
"760",14,46,90239,FALSE,0
"761",14,47,90633,FALSE,0
"762",14,48,91997,FALSE,0
"763",14,49,90614,FALSE,0
"764",14,50,90477,FALSE,0
"765",14,51,91543,FALSE,0
"766",14,52,90802,FALSE,0
"767",14,53,90806,FALSE,0
"768",14,54,91401,FALSE,0
"769",14,55,91536,FALSE,0
"770",14,56,91539,FALSE,0
"771",14,57,91709,FALSE,0
"772",14,58,92577,FALSE,0
"773",15,1,112883,FALSE,0
"774",15,2,98252,FALSE,0
"775",15,3,97378,FALSE,0
"776",15,4,96628,FALSE,0
"777",15,5,97441,FALSE,0
"778",15,6,96512,FALSE,0
"779",15,7,96107,FALSE,0
"780",15,8,96391,FALSE,0
"781",15,9,96352,FALSE,0
"782",15,10,96240,FALSE,0
"783",15,11,95907,FALSE,0
"784",15,12,96498,FALSE,0
"785",15,13,96286,FALSE,0
"786",15,14,95527,FALSE,0
"787",15,15,95921,FALSE,0
"788",15,16,95237,FALSE,0
"789",15,17,120199,TRUE,0
"790",15,18,101782,FALSE,1
"791",15,19,94918,FALSE,0
"792",16,1,113209,FALSE,0
"793",16,2,98453,FALSE,0
"794",16,3,97543,FALSE,0
"795",16,4,96568,FALSE,0
"796",16,5,95904,FALSE,0
