"Date","BitcoinTransactions"
"2015-12-25",184124
"2015-12-26",170904
"2015-12-27",160271
"2015-12-28",166837
"2015-12-29",187040
"2015-12-30",176447
"2015-12-31",164132
"2016-01-01",123623
"2016-01-02",149038
"2016-01-03",141064
"2016-01-04",170176
"2016-01-05",182371
"2016-01-06",177478
"2016-01-07",177873
"2016-01-08",181407
"2016-01-09",178374
"2016-01-10",164687
"2016-01-11",191196
"2016-01-12",196656
"2016-01-13",191628
"2016-01-14",183182
"2016-01-15",185105
"2016-01-16",190301
"2016-01-17",204128
"2016-01-18",213934
"2016-01-19",205735
"2016-01-20",209071
"2016-01-21",210240
"2016-01-22",226106
"2016-01-23",190400
"2016-01-24",193572
"2016-01-25",210592
"2016-01-26",230523
"2016-01-27",226385
"2016-01-28",231454
"2016-01-29",224394
"2016-01-30",209984
"2016-01-31",168625
"2016-02-01",222398
"2016-02-02",231998
"2016-02-03",200087
"2016-02-04",200661
"2016-02-05",215910
"2016-02-06",232752
"2016-02-07",212190
"2016-02-08",220559
"2016-02-09",230799
"2016-02-10",235527
"2016-02-11",227463
"2016-02-12",202906
"2016-02-13",184675
"2016-02-14",188927
"2016-02-15",207397
"2016-02-16",215940
"2016-02-17",227403
"2016-02-18",212765
"2016-02-19",217436
"2016-02-20",225259
"2016-02-21",209276
"2016-02-22",237696
"2016-02-23",246578
"2016-02-24",225112
"2016-02-25",216290
"2016-02-26",209880
"2016-02-27",182423
"2016-02-28",233436
"2016-02-29",265695
"2016-03-01",260619
"2016-03-02",270206
"2016-03-03",221257
"2016-03-04",212104
"2016-03-05",234992
"2016-03-06",171486
"2016-03-07",183530
"2016-03-08",200298
"2016-03-09",187623
"2016-03-10",192611
"2016-03-11",189816
"2016-03-12",141116
"2016-03-13",187401
"2016-03-14",191341
"2016-03-15",197677
"2016-03-16",215973
"2016-03-17",208319
"2016-03-18",203578
"2016-03-19",188863
"2016-03-20",178143
"2016-03-21",189228
"2016-03-22",210488
"2016-03-23",186808
"2016-03-24",194985
"2016-03-25",173609
"2016-03-26",159049
"2016-03-27",161486
"2016-03-28",181300
"2016-03-29",197409
"2016-03-30",207906
"2016-03-31",208976
"2016-04-01",211922
"2016-04-02",196651
"2016-04-03",176722
"2016-04-04",208929
"2016-04-05",216684
"2016-04-06",218585
"2016-04-07",218463
"2016-04-08",215441
"2016-04-09",207555
"2016-04-10",186954
"2016-04-11",217378
"2016-04-12",240200
"2016-04-13",223506
"2016-04-14",230281
"2016-04-15",216850
"2016-04-16",182004
"2016-04-17",191478
"2016-04-18",203165
"2016-04-19",226511
"2016-04-20",216780
"2016-04-21",212795
"2016-04-22",210976
"2016-04-23",185216
"2016-04-24",183155
"2016-04-25",217564
"2016-04-26",250744
"2016-04-27",239435
"2016-04-28",247957
"2016-04-29",261884
"2016-04-30",215712
"2016-05-01",191430
"2016-05-02",223785
"2016-05-03",235609
"2016-05-04",233691
"2016-05-05",229580
"2016-05-06",233232
"2016-05-07",202062
"2016-05-08",185562
"2016-05-09",226451
"2016-05-10",245721
"2016-05-11",234412
"2016-05-12",228409
"2016-05-13",232146
"2016-05-14",211280
"2016-05-15",200171
"2016-05-16",239809
"2016-05-17",238626
"2016-05-18",235084
"2016-05-19",219145
"2016-05-20",209396
"2016-05-21",191461
"2016-05-22",184348
"2016-05-23",222755
"2016-05-24",246517
"2016-05-25",247841
"2016-05-26",220093
"2016-05-27",215296
"2016-05-28",193054
"2016-05-29",178742
"2016-05-30",211369
"2016-05-31",215249
"2016-06-01",234385
"2016-06-02",231099
"2016-06-03",234669
"2016-06-04",196665
"2016-06-05",190528
"2016-06-06",221171
"2016-06-07",248576
"2016-06-08",229933
"2016-06-09",236353
"2016-06-10",228367
"2016-06-11",213159
"2016-06-12",210711
"2016-06-13",251354
"2016-06-14",247632
"2016-06-15",259202
"2016-06-16",267870
"2016-06-17",253752
"2016-06-18",235317
